,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,ALAND,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
101,"Census Tract 137.22, Dallas County, Texas",4745,2209,1125,14.7,49.1,2.15,2.91,8.2,0,0,0,2.6,7.4,73.2,0,73.7,37.7,4.1,2.4,35.2,12.3,12.8,12.5,16,0,1.2,7.3,16.1,4.4,77642,15,1.3,5.5,3,41853,59188,42361,72.2,72.2,14.3,9,0,5.9,2245,98.4,0,1,2245,48,113,13722,15.8,8.2,4.2,1.6,2209,19.4,1781,2.33,7,24.1,19.6,21.3,33.4,0,1094,1165,7.1,12,0.3,0.3,66.6,4745,336000,336,269,low,0.07
102,"Census Tract 62, Dallas County, Texas",6827,2058,1471,32.5,28.5,3.32,4.07,3.7,37,24.3,27.7,14.5,3.2,80.4,0.5,77.8,51.9,1.7,10.5,19.8,21.9,18.3,3.5,12.6,0,8.6,9.8,9.6,3,62118,26.2,1.1,25.9,2.5,24310,31576,27272,39.2,39.2,20.1,26.4,49.7,50,2156,95.5,0,0,2156,48,113,6200,9.1,9.8,2.1,0.9,2058,47.3,1085,3.22,11.6,21.3,29.1,13.6,20.1,1.6,1438,907,12.5,11,0.8,0,64.8,6827,280000,280,3504,high,0.04
103,"Census Tract 94.01, Dallas County, Texas",3504,1357,764,10.1,43.7,2.58,3.59,4.7,61,26.7,62.5,13.1,1.9,93.6,0,80.8,47.7,6.2,6.7,36.1,23.5,9.2,10,10.1,0,4.3,9.7,13.6,6.7,86028,31.9,0.5,7.8,10.5,30300,36346,50357,59.7,59.7,17.2,5.6,0,0,1453,93.4,1.8,0,1453,48,113,9401,1.4,0.6,1.6,1.7,1357,69.4,415,2.37,4,25.2,5.8,11.3,12.1,8.1,1702,1384,5.8,16.2,0.2,0,87.1,3504,157000,157,1075,low,0.04
104,"Census Tract 122.04, Dallas County, Texas",7586,2564,1937,11.2,24.5,2.96,3.49,2.7,16,0,0,4.3,7.1,95.2,0,71.1,46.1,2.5,2,34.4,23.5,14.6,9.9,13.1,0,5.2,4,25.3,3.1,84262,19,1.1,8.9,2.6,38464,40595,52819,61.5,61.5,21.3,16.6,27,59.6,2650,96.8,0,3.8,2650,48,113,12204,0.7,0,2.1,0,2564,64.5,911,2.89,7.6,26.5,4.6,12.5,27.3,0,1523,875,8.8,11,0.5,0,81.6,7586,306000,306,4117,high,0.04
105,"Census Tract 170.01, Dallas County, Texas",10141,2548,1886,17,26,3.19,3.74,5.2,14,3.2,24.8,16.9,6.5,86,1.4,80.2,39.7,9.1,1.4,20,18.9,12.9,9.4,11.4,0.7,11,12.7,13.9,2.1,60714,31.9,0.7,26,2.9,21556,34334,38359,39.5,39.5,23.8,12.6,15.8,33.4,2884,88.3,0,25.9,2884,48,113,17001,2.1,0.7,0.2,0.6,2548,72.3,705,3.17,0.7,24.6,29.9,25.3,4.1,0.4,909,804,7.7,12.7,2.1,0,79,10141,7556000,7556,652,low,0.75
106,"Census Tract 177.03, Dallas County, Texas",5168,1622,1138,30.5,29.8,3.19,3.88,5.1,81,20.7,19.1,18.4,5.9,72.2,0.8,76.4,43.9,3.2,2.8,14.4,22.3,19.7,5.4,14.1,0,11,10.7,6.5,0,42129,22.4,3.4,25.3,0,22879,40281,28625,44.3,44.3,21.1,21.7,11.6,33.5,1644,98.7,3.4,0,1644,48,113,17703,10.3,0,1.5,0.9,1622,38.8,992,3.79,9.5,22.1,58.6,23.2,10.5,0,1017,876,10.4,10.8,1.1,0,62.6,5168,214000,214,1,low,0.04
107,"Census Tract 114.01, Dallas County, Texas",5217,1880,1151,39.5,38.8,2.67,3.55,4.1,65,18.9,23.8,18.2,2.7,86.1,0.4,95.7,8.9,0.4,8.5,17,25.5,14.7,5.4,4.9,0,33.5,13.8,7,0.8,49736,20.4,2.2,50,1.3,18351,30954,26083,23.3,23.3,24.5,41.9,47.7,59.3,2148,87.5,7.3,11.1,2148,48,113,11401,3.9,0,1.4,0.8,1880,29.9,1318,2.82,4.7,17.1,42.2,21,4.8,0,1171,778,9.1,10.5,3,0,17.5,5217,589000,589,4549,high,0.11
108,"Census Tract 78.10, Dallas County, Texas",4637,1927,1322,7.3,31.4,2.4,2.92,3.7,54,0,0,4.9,6,81.2,0,74.5,27.5,5.8,4.2,53.4,12.7,17.5,10.8,19.7,0,2.6,13.4,7.7,15.3,110256,23.6,0,9.8,20.8,44243,53861,51848,68.9,68.9,17.9,15,46.6,53.8,2131,90.4,0,12.3,2131,48,113,7810,7.4,1.5,10.3,0.7,1927,53,905,2.48,13.7,12.2,5.8,2.5,3.5,14.5,2489,826,7.6,16.2,0.9,1.3,68.5,4637,226000,226,3848,high,0.05
109,"Census Tract 87.05, Dallas County, Texas",1427,468,350,36.8,25.2,3.05,3.69,1.3,33,15.6,51.9,20.7,1.8,97.2,0,80.2,45.9,0,15.8,12.2,19.2,5.8,13.9,2.6,0,10,10.3,3.4,0,39631,34.4,4.3,34.6,0,23094,27188,27640,41.7,41.7,22.4,17.4,29.2,31.8,548,85.4,4.3,20.1,548,48,113,8705,0,0,1.6,4.6,468,73.7,123,2.94,9.2,13.7,53.6,15.9,0,0,892,1288,4.1,17.6,0,0,39,1427,160000,160,1492,high,0.11
110,"Census Tract 99, Dallas County, Texas",3712,1856,875,17.4,52.9,2,2.7,9.9,0,-666666666,-666666666,3.4,4.6,64.8,5.9,54.5,52.4,2.7,2.7,50.5,10.4,7.5,12.7,19.2,0,4.8,7.3,12.2,2.6,70827,7.8,0.7,6.1,3.4,40704,53789,50216,58.1,58.1,27.9,11.2,19.5,18.6,2078,89.3,0,6.9,2078,48,113,9900,65.6,21.9,17.1,2.5,1856,3.6,1790,2.41,18.7,10.1,0,0,0,36.4,-666666666,1333,10.9,5.2,0.6,2.3,48.1,3712,2336000,2336,19402,high,0.63
111,"Census Tract 133, Dallas County, Texas",1955,752,677,4.1,10,2.6,2.74,1.1,0,-666666666,-666666666,0,3.6,88.9,0,86,9.8,10.2,2.5,83.4,4.8,5.5,16.3,21.9,0,2.1,3.3,3.1,65.7,360531,26.6,0,1.1,67.8,125236,230379,95500,92.7,92.7,1,3.1,0,0,808,93.1,0.7,0,808,48,113,13300,0,6.8,0,0,752,93.9,46,2.58,1.2,29,0,1,0,44.1,4001,-666666666,5.2,24.8,0,0,89,1955,251000,251,504,low,0.13
