,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
5130,"Census Tract 190.33, Dallas County, Texas",11.8,21.4,4.7,0.0,3.6,9.1,19.8,4.0,83.8,0.7,53.0,74.7,0.5,5.0,12.7,22.9,18.2,3.7,8.4,0.0,5.4,15.0,13.0,1.7,16.7,0.0,14.2,2.2,40.0,40.0,35.9,22.3,70.0,67.4,96.2,0.0,0.0,3.4,0.0,6.3,5.2,59.7,4.16,1.5,26.3,23.9,48.4,19.0,5.0,5.1,12.5,1.8,0.0,70.7,low,65.24636834680288,57.83545176485395,52.22162428373528,70.8100080937467,77.87368854643695,93.98753595937646,100.0,138.95486935866984,129.24286130150588,113,019033,48
5131,"Census Tract 194, Dallas County, Texas",11.6,34.3,6.0,0.0,,,0.7,1.6,84.1,0.0,90.1,11.0,8.6,1.6,75.4,6.7,6.2,21.0,26.6,0.0,3.3,4.0,9.6,46.2,16.6,0.0,0.0,59.4,95.0,95.0,1.8,1.7,0.0,0.0,93.1,0.8,0.0,1.4,3.2,0.0,1.6,75.1,2.67,4.2,32.6,0.0,0.0,0.6,31.7,6.8,14.2,0.4,0.5,92.3,low,209.2064557126013,383.84625943902194,144.8728179837082,232.03181194355489,146.91187516658186,92.1587448136868,100.0,90.49881235154395,89.83248207055343,113,019400,48
5132,"Census Tract 63.01, Dallas County, Texas",16.0,23.1,3.1,39.0,0.0,5.9,17.8,5.1,97.2,0.7,69.1,73.8,0.4,10.9,16.2,20.3,10.8,3.0,7.5,0.0,3.0,9.3,11.4,0.6,25.0,0.0,13.4,0.8,50.7,50.7,25.0,7.1,0.0,13.0,96.7,0.0,0.0,0.4,0.0,0.0,1.4,70.8,3.3,3.5,18.4,51.2,31.8,6.3,0.6,7.0,11.7,0.2,0.0,87.8,high,80.119367285625,66.86708580217027,75.26962557446792,63.212865538234155,86.70919047272902,119.54951556879148,100.0,120.42755344418052,114.7537512901263,113,006301,48
5133,"Census Tract 65.01, Dallas County, Texas",17.3,14.3,3.6,10.0,0.0,5.1,16.2,3.3,96.5,0.0,58.3,88.0,0.2,1.0,12.3,16.6,13.7,5.5,5.7,0.4,4.1,10.8,10.1,0.0,24.1,2.5,14.0,0.0,38.9,38.9,29.7,13.0,0.0,0.0,98.8,0.0,0.0,1.7,0.0,0.8,1.3,69.0,3.83,0.0,31.2,50.1,28.3,17.7,0.0,5.6,8.5,0.2,0.3,91.3,low,68.210115703097,60.212102150827796,68.47037195745061,62.92289826512298,88.61488696663517,144.92656124212553,100.0,147.8622327790974,130.40199010241628,113,006501,48
5134,"Census Tract 73.01, Dallas County, Texas",5.3,31.2,1.8,0.0,,,0.1,2.4,89.3,0.5,92.8,11.3,12.5,0.9,76.2,2.8,5.0,24.2,33.7,1.0,1.6,1.2,10.3,50.7,18.1,0.9,0.0,56.9,89.0,89.0,4.1,1.3,0.0,0.0,81.6,2.2,33.9,11.9,4.2,1.2,0.0,90.6,2.34,2.2,27.4,1.3,1.6,0.0,37.7,8.8,18.8,0.0,0.6,98.8,low,289.0751835095075,377.1387030484016,217.72762465271506,232.03181194355489,235.7866298369315,36.349792547472006,100.0,81.59144893111639,81.71858046418085,113,007301,48
5135,"Census Tract 73.02, Dallas County, Texas",6.5,38.6,5.3,0.0,50.0,0.0,2.9,5.4,83.5,0.0,82.5,26.4,6.0,2.4,55.7,11.0,6.5,8.2,24.2,0.4,3.1,5.5,11.1,30.9,20.0,1.3,4.0,39.0,68.3,68.3,19.9,1.5,5.2,40.9,92.9,0.0,3.4,13.6,4.5,5.7,3.1,62.3,2.17,5.0,23.6,2.4,3.1,0.0,36.7,7.3,18.5,0.0,0.7,96.2,high,159.10956491588772,131.02033054575713,172.90196599352416,220.78108174684166,111.39662232560393,89.11760897591073,100.0,81.59144893111639,84.32662026622918,113,007302,48
5136,"Census Tract 76.04, Dallas County, Texas",4.3,14.9,1.1,0.0,0.0,0.0,1.8,1.8,81.7,4.1,90.5,6.1,6.4,1.0,70.7,1.8,5.2,23.5,23.9,0.0,0.0,1.8,4.7,62.1,20.2,0.0,0.0,68.5,95.1,95.1,1.3,0.0,0.0,0.0,93.3,0.0,0.0,0.0,5.4,0.0,0.0,95.8,2.71,5.5,24.6,0.0,0.0,0.6,25.5,4.4,21.1,0.0,3.2,93.1,low,324.92696604532347,453.2150824895857,190.35812311997006,232.03181194355489,262.0332679120932,63.57617758161582,100.0,96.9121140142518,86.64487786804992,113,007604,48
5137,"Census Tract 76.05, Dallas County, Texas",4.3,39.5,2.5,0.0,33.3,0.0,0.8,5.5,92.1,0.0,88.7,7.2,12.6,2.3,58.3,7.8,13.4,15.2,24.4,0.0,3.0,5.6,9.0,34.3,44.7,0.0,0.0,51.2,84.8,84.8,2.8,1.4,0.0,43.8,90.3,2.2,0.0,5.2,0.5,3.3,0.0,88.5,2.24,3.2,32.3,2.4,8.1,12.5,22.9,2.7,37.8,0.3,0.4,95.0,low,190.6798048454445,272.0893057058949,192.29976805071237,232.03181194355489,126.29570400523369,36.55527469867309,100.0,76.24703087885987,80.84923386349809,113,007605,48
5138,"Census Tract 78.11, Dallas County, Texas",19.9,50.8,10.1,36.0,,,13.1,10.3,75.1,2.1,72.2,38.6,3.4,4.4,20.4,20.2,20.7,4.5,10.6,0.0,7.4,17.9,3.0,0.2,17.3,2.9,15.4,0.0,43.1,43.1,30.3,13.1,23.2,26.4,90.9,0.0,7.3,22.1,0.0,13.1,1.9,14.9,1.34,8.6,10.6,32.3,11.4,19.8,0.0,11.0,7.4,0.3,0.0,45.0,high,63.95699613164092,54.54693628037146,62.964771325501744,69.24418481894641,71.63686365728962,137.9196198861685,100.0,76.95961995249407,84.32662026622918,113,007811,48
5139,"Census Tract 79.06, Dallas County, Texas",6.9,31.1,0.4,0.0,0.0,0.0,0.6,0.5,90.0,0.0,95.7,4.0,12.7,2.7,77.7,0.0,4.6,21.6,22.7,0.0,0.0,5.7,8.5,48.5,40.6,0.0,0.0,57.1,89.4,89.4,2.9,1.5,0.0,0.0,87.1,4.1,0.0,7.3,0.0,8.5,0.0,67.6,2.58,7.5,18.5,0.0,1.4,2.8,37.7,4.5,36.0,0.0,0.0,98.7,low,288.07520946688686,338.93826297727975,185.98767384609022,232.03181194355489,190.13653655108914,46.9115751192078,100.0,77.67220902612827,78.24119406144976,113,007906,48
