,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crimeStats,crime,%DP03_0065E-HH-MeanEarnings,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
962,"Census Tract 1156, Kings County, New York",36.4,43.2,1.1,53.0,0.0,11.2,15.3,8.9,88.3,1.1,74.9,30.6,0.7,17.4,23.4,37.5,19.9,2.8,7.2,0.0,29.8,16.2,6.6,0.0,22.1,19.0,48.8,0.0,37.0,37.0,5.9,33.3,36.4,58.0,92.8,0.0,0.0,61.0,0.0,4.8,8.0,8.6,3.04,3.0,30.6,0.0,0.0,0.0,70.8,9.8,12.4,1.1,0.0,10.6,7054,high,49.8538033664798,55.455654836504166,82.34964525496427,50.83467000782903,139.5384091900451,43.06620003792433,110.5932257155348,100.0,99.63670592628306,047,115600,36
963,"Census Tract 1178, Kings County, New York",18.3,18.9,6.5,66.0,0.0,0.0,8.7,1.7,96.6,0.0,55.4,66.0,0.2,6.3,10.1,35.8,18.4,3.2,9.1,0.0,18.7,10.2,12.5,1.0,20.2,5.8,30.6,1.3,46.7,46.7,11.5,24.9,51.7,63.2,83.9,0.0,10.0,3.8,0.0,7.5,7.9,31.0,4.97,3.1,31.8,0.0,2.7,0.0,47.7,6.5,12.0,0.0,0.7,30.6,1475,low,78.37228340048613,68.2839144858004,65.14717244272654,63.609030809843404,84.05087881729784,95.0473777907056,55.59941047706678,100.0,125.274220901467,047,117800,36
964,"Census Tract 878, Kings County, New York",27.7,42.4,1.9,0.0,0.0,0.0,11.0,9.0,90.7,1.7,44.4,6.4,0.0,8.2,11.5,37.8,16.1,3.2,6.0,0.5,12.9,16.3,16.9,0.0,24.1,2.8,20.3,0.0,47.7,47.7,10.8,14.2,0.0,44.5,86.8,0.0,1.0,30.8,0.0,0.8,6.3,10.3,2.67,0.0,28.6,0.0,0.0,0.0,37.6,4.7,28.2,0.4,0.0,1.8,2402,low,60.489397368870414,78.03983868709085,82.00038402492412,70.5864555583334,96.39694151494241,87.8468188671673,72.78678010586958,100.0,82.44791747701201,047,087800,36
965,"Census Tract 882, Kings County, New York",28.7,42.9,4.9,35.0,0.0,0.0,9.0,6.8,96.2,0.8,51.8,14.6,0.3,5.6,27.4,36.4,11.3,8.1,13.8,0.0,6.9,12.9,8.9,3.8,27.2,5.0,18.4,6.7,63.4,63.4,7.7,10.1,40.8,11.7,91.9,0.0,3.2,52.9,0.0,4.9,8.4,20.7,3.47,1.6,31.3,0.0,0.0,0.0,41.8,6.2,15.0,0.0,0.0,7.2,2147,low,78.08095682723993,77.93155145408737,64.73457368392262,80.13587253936238,84.88790001713814,81.67491121842018,183.5530330324326,100.0,99.92804132372834,047,088200,36
966,"Census Tract 890, Kings County, New York",22.5,54.5,7.3,0.0,0.0,64.7,8.2,5.5,88.8,0.0,44.8,11.9,0.0,10.3,24.9,42.2,10.6,1.7,5.9,0.0,9.1,18.1,10.7,1.6,24.1,6.6,30.4,1.9,47.5,47.5,12.6,17.7,0.0,19.9,89.9,8.4,4.9,36.9,0.9,0.7,8.1,13.4,2.78,3.7,29.8,5.9,0.0,0.0,5.2,1.9,21.7,0.5,0.0,10.0,2949,high,57.75766722496122,72.26032241399803,118.29640729391761,63.386071730861694,96.78057623153589,88.32685612873652,161.11717133577392,100.0,88.857296220808,047,089000,36
967,"Census Tract 894, Kings County, New York",26.7,38.1,4.4,39.0,21.4,15.2,7.9,14.0,94.2,0.0,62.0,33.0,0.0,16.0,19.5,36.7,9.2,2.9,9.3,0.0,15.9,8.1,11.9,1.1,17.6,17.7,38.5,1.7,44.0,44.0,10.0,25.9,35.8,32.2,79.2,0.0,7.6,3.9,0.0,4.1,4.4,30.0,2.81,3.5,28.5,0.0,0.0,0.0,45.8,10.0,11.6,0.0,1.5,6.9,1848,low,56.80650770410147,78.52335377399011,86.6457393488263,63.94346942831596,90.29366193277349,99.64202015143957,88.87831073149368,100.0,110.70745102920338,047,089400,36
968,"Census Tract 930, Kings County, New York",26.6,24.6,5.9,34.0,0.0,2.4,5.3,14.3,96.2,0.0,44.2,9.9,0.2,8.0,34.7,32.2,6.6,5.8,6.6,0.0,4.5,5.4,17.5,2.5,28.7,1.8,9.5,1.6,64.9,64.9,8.1,12.1,19.5,0.0,89.3,0.0,11.6,1.4,0.0,1.2,4.1,53.7,3.5,2.3,32.1,3.8,0.0,3.4,38.2,6.1,20.1,0.4,0.0,2.0,528,low,98.94015687955734,93.17738653787994,72.62462012420838,87.27056306677699,92.90935318227444,84.21225102957177,87.37874156924914,100.0,101.96738910584524,047,093000,36
969,"Census Tract 962, Kings County, New York",40.0,19.8,4.4,78.0,0.0,21.1,9.7,11.9,92.7,0.4,56.7,25.9,0.1,5.0,29.5,30.0,13.9,4.5,6.9,0.0,2.1,11.8,15.1,8.3,24.7,6.0,13.6,10.4,60.3,60.3,6.2,8.5,0.0,16.7,92.3,4.0,0.0,0.0,0.0,0.0,3.4,51.7,3.96,2.3,24.3,0.0,0.0,0.0,64.7,9.8,10.8,0.0,0.0,6.1,512,low,90.79497026264065,86.56682870917899,72.2445949516258,72.01379180502879,95.00190618187523,109.24276538282398,53.75378689276581,100.0,116.24282358066358,047,096200,36
970,"Census Tract 984, Kings County, New York",17.9,26.6,3.3,38.0,0.0,28.8,6.2,11.6,93.6,0.0,53.2,14.7,0.4,4.2,39.9,28.7,5.3,3.2,9.5,0.0,1.6,10.5,14.6,4.6,32.6,0.0,6.5,6.3,76.7,76.7,7.1,6.1,0.0,45.1,92.5,0.0,0.0,0.0,0.0,0.8,1.6,57.1,3.37,0.0,31.9,1.5,0.0,0.0,47.7,6.7,19.8,0.0,0.0,8.1,103,low,95.42684536936453,89.55606000162395,84.14843107185513,88.96067251370081,90.88655194932703,117.88343609106992,60.15579370080981,100.0,104.88074308029796,047,098400,36
971,"Census Tract 414.01, Kings County, New York",20.2,27.9,6.8,0.0,0.0,0.0,2.5,3.2,95.9,0.3,56.9,51.3,1.2,10.6,43.6,28.2,10.5,4.4,3.2,0.0,3.3,8.9,11.6,4.2,27.0,0.0,12.3,5.8,60.5,60.5,1.5,22.2,0.0,60.9,94.3,0.0,0.0,34.7,0.0,2.5,3.1,41.4,3.02,3.3,17.7,0.0,10.1,20.6,9.0,13.0,16.1,0.0,0.0,73.6,117,low,88.35565373143005,73.67057475078755,72.3314578482161,,96.60619681490249,112.05441220058654,46.48664402958073,100.0,114.7861465934372,047,041401,36
972,"Census Tract 415, Kings County, New York",30.9,30.7,8.7,50.0,0.0,27.6,14.3,11.1,89.3,0.3,65.5,54.2,1.5,10.0,26.4,29.8,13.1,2.7,7.0,0.0,11.3,8.6,10.9,5.6,20.6,4.4,28.0,7.3,57.1,57.1,7.6,16.0,22.6,29.0,89.8,0.0,7.1,3.4,0.0,0.6,3.1,26.2,4.34,8.5,35.8,0.0,7.3,0.0,36.6,6.0,7.5,1.7,0.0,32.6,863,low,95.35727484441021,82.30585200587919,89.02723043034375,76.32167972392534,96.11793444832898,101.56216919771646,120.88834477171366,100.0,114.7861465934372,047,041500,36
