,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crimeStats,crime,%DP03_0065E-HH-MeanEarnings,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
5046,"Census Tract 31.01, Dallas County, Texas",3.4,80.2,13.2,0.0,,,0.0,6.5,52.2,0.0,84.2,17.9,11.3,5.8,65.8,11.2,9.3,11.8,33.9,1.2,7.3,3.6,8.5,10.4,5.0,0.4,4.2,23.0,85.0,85.0,10.9,9.5,21.3,73.0,80.2,0.0,11.5,99.2,3.1,23.4,27.0,14.3,1.67,14.7,8.0,0.0,4.9,20.6,5.2,3.5,3.2,1.0,0.8,72.1,7267,high,141.5211766520874,157.2509076105857,122.00994186751409,146.8421804654782,131.21879559260677,126.33690477425243,73.68479509416488,100.0,67.44969627942297,113,003101,48
5047,"Census Tract 34, Dallas County, Texas",21.4,59.8,10.6,37.0,31.6,39.5,16.3,3.2,81.6,0.0,91.0,19.8,3.7,13.5,29.3,30.1,9.5,3.5,24.3,0.0,19.2,9.7,6.0,0.0,33.0,3.5,41.2,0.0,26.5,26.5,24.7,12.1,100.0,0.0,81.6,0.0,9.4,34.2,0.0,5.1,21.4,16.9,3.82,7.2,18.1,29.9,14.9,32.2,0.0,5.9,15.5,0.0,0.0,27.5,2321,high,46.44159715975004,65.81532597621586,49.15374160078105,66.91359741936375,54.3314235396697,66.59350917407404,25.827660136099034,100.0,106.81947608200461,113,003400,48
5048,"Census Tract 39.01, Dallas County, Texas",41.7,35.2,6.7,0.0,32.5,0.0,22.4,3.1,88.6,1.1,95.8,12.8,1.1,8.4,24.9,31.6,14.1,5.9,16.3,0.0,22.0,26.2,11.7,0.0,19.0,3.7,40.3,0.0,26.3,26.3,24.7,46.4,33.3,56.9,86.4,0.0,8.5,2.9,1.8,0.0,2.0,25.8,2.16,6.4,16.6,25.3,11.3,7.7,0.0,10.3,11.2,0.0,0.0,9.4,1239,high,38.352526792637306,54.59419141355322,43.97432215989943,67.05324318789113,47.60522809612468,77.34558617613807,45.14707840960396,100.0,106.24050873196664,113,003901,48
5049,"Census Tract 53, Dallas County, Texas",19.2,23.8,4.8,22.0,11.2,11.8,18.0,5.2,93.7,0.0,65.5,78.5,2.5,9.6,16.4,18.7,11.3,7.1,9.4,0.0,5.7,15.7,12.6,1.5,25.9,0.3,11.8,2.0,48.9,48.9,19.4,19.8,8.2,65.3,98.1,0.0,3.1,1.3,0.0,0.8,3.3,69.5,3.08,6.1,26.6,49.3,24.3,11.3,0.4,6.3,11.5,0.0,0.2,90.5,1612,high,63.889772014642034,66.43025345167376,58.932659481465876,61.73739426594932,67.49389220936557,84.02227915322622,151.14724477103425,100.0,112.89863325740323,113,005300,48
5050,"Census Tract 54, Dallas County, Texas",21.3,26.3,2.3,77.0,0.0,8.5,17.8,2.7,94.9,0.0,73.6,66.3,1.0,9.1,15.7,21.9,16.1,9.0,7.4,0.0,10.6,8.8,12.8,4.3,29.3,3.0,28.3,5.8,26.7,26.7,35.0,18.3,26.8,55.2,91.1,0.0,10.6,0.5,0.0,0.0,0.0,58.5,3.45,0.0,28.1,48.1,7.9,6.9,1.1,7.3,13.5,0.0,0.0,70.5,2144,high,87.21014764250839,72.37282989517459,63.69707295595076,85.50044921035642,60.30382121798985,86.97042929895346,128.09123337768037,100.0,127.95178435839034,113,005400,48
5051,"Census Tract 171.02, Dallas County, Texas",26.8,17.9,6.1,179.0,4.4,7.9,23.2,4.4,91.2,0.8,67.3,62.8,4.3,8.9,8.7,25.6,8.7,2.5,7.7,0.0,6.6,10.7,10.9,1.4,21.1,4.2,21.9,1.7,33.9,33.9,28.5,18.9,15.5,52.8,95.7,0.0,0.0,0.0,2.0,0.0,2.5,72.8,3.5,2.5,40.7,44.8,18.4,11.1,0.0,8.9,10.7,1.0,0.0,70.3,1964,high,57.73534143707513,61.19561872361609,57.859805629470806,64.58616794390763,63.840872270198865,88.09766317820211,120.53592421227141,100.0,111.45121488230834,113,017102,48
5052,"Census Tract 176.02, Dallas County, Texas",26.2,12.9,5.2,0.0,19.7,6.6,13.3,13.3,82.2,1.0,81.7,46.9,2.1,3.3,25.3,9.7,9.9,2.6,23.5,0.0,3.4,12.1,5.8,3.7,27.6,4.2,16.5,2.9,48.3,48.3,15.0,19.4,46.3,57.6,90.1,3.8,22.1,0.0,0.0,0.0,0.0,81.0,3.65,1.1,36.2,40.2,44.7,7.4,0.0,5.8,11.5,0.0,1.2,67.8,10,low,77.96825956550748,74.47340148150772,67.87250416371538,83.27775406129582,62.73916784410098,91.65278541275555,85.34625054512217,100.0,111.7406985573273,113,017602,48
5053,"Census Tract 178.05, Dallas County, Texas",16.9,36.1,4.1,81.0,0.0,5.2,18.0,11.8,85.9,0.0,85.9,31.6,8.3,5.5,23.8,34.0,6.8,7.7,9.4,0.0,4.7,10.0,8.3,0.5,28.1,1.0,16.6,0.8,49.1,49.1,18.9,13.5,34.5,24.3,93.6,0.0,4.3,3.8,0.0,0.0,0.6,52.7,2.65,7.9,24.4,28.7,34.1,33.4,0.0,9.2,16.0,0.0,0.0,69.2,190,low,53.00913023355527,62.03791434126013,65.58725296884073,57.07788045608615,74.22008765291058,84.1956997500337,101.23703667019424,100.0,96.39806378132124,113,017805,48
5054,"Census Tract 106.01, Dallas County, Texas",21.3,15.7,3.8,125.0,13.1,12.2,18.1,1.5,84.7,0.0,65.3,75.9,1.1,7.8,11.5,24.4,10.3,6.9,10.3,0.0,4.6,15.0,11.5,0.8,23.8,0.9,14.9,0.9,46.0,46.0,26.8,15.3,0.0,18.8,95.4,0.0,4.0,0.0,1.5,1.5,0.8,69.7,4.24,3.6,26.0,40.3,22.1,9.1,0.0,7.9,10.6,1.6,0.0,88.9,1364,high,65.39310093345969,66.6447029494175,56.232402320194495,67.03927861103838,63.49296560932586,91.82620600956302,126.67461290916617,100.0,129.10971905846628,113,010601,48
5055,"Census Tract 106.02, Dallas County, Texas",48.3,14.2,3.1,137.0,5.8,49.7,19.5,3.8,94.8,0.1,79.6,61.5,0.1,6.1,18.1,23.6,6.5,6.9,14.1,0.0,22.8,8.2,2.7,1.0,16.3,1.0,35.2,1.2,34.3,34.3,22.6,36.2,22.4,54.5,87.7,0.0,5.4,1.8,0.0,3.0,1.3,49.2,3.75,3.7,27.9,44.2,25.2,4.9,0.0,14.6,8.4,0.0,0.0,63.7,1486,high,52.379803290250074,56.276198919952805,65.58544071571237,52.26941115979379,71.2048965920111,30.695445634924752,62.433954271762445,100.0,110.00379650721341,113,010602,48
