,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,STATEFP,TRACTCE,index,GEOID
405,"Census Tract 136.07, Dallas County, Texas",9.5,26.8,7.9,0.0,0.0,0.0,4.4,5.8,81.8,0.0,80.6,26.6,8.4,3.6,57.5,16.3,14.2,12.2,15.8,0.0,2.7,3.2,7.2,23.8,29.7,0.0,0.5,32.3,74.4,74.4,14.8,3.6,0.0,32.8,98.9,0.0,0.0,3.9,0.0,1.2,0.0,71.4,2.71,4.0,21.8,0.8,0.0,3.1,18.1,6.5,19.8,0.4,1.0,76.4,low,130.00437727744222,133.8230014051893,135.1739169551141,160.11992821198578,97.88350173245136,77.09690313064723,100.0,98.69358669833728,90.41204647100858,113,48,013607,2283,48113013607
406,"Census Tract 118, Dallas County, Texas",27.7,11.0,7.7,39.0,15.3,34.5,15.0,4.8,90.7,0.5,67.5,67.7,0.4,2.1,8.4,25.3,5.3,4.2,9.8,0.0,11.0,18.0,10.2,0.0,14.9,2.4,24.8,0.0,35.5,35.5,30.8,32.6,36.6,61.2,91.5,0.0,0.0,2.0,0.5,1.0,0.0,65.3,4.17,7.0,22.6,53.9,14.2,3.5,0.0,8.5,7.7,0.0,0.0,69.5,high,64.94921843749702,54.14448289693424,63.507872488602544,61.76302917267833,91.12694143587507,219.84535357004123,100.0,141.09263657957246,115.62309789080908,113,48,011800,3232,48113011800
407,"Census Tract 126.01, Dallas County, Texas",14.0,23.0,4.5,126.0,22.2,27.5,18.9,5.3,78.4,0.6,64.7,66.9,1.6,3.3,20.0,22.7,17.2,4.5,9.8,0.0,2.6,14.7,16.3,1.2,17.7,2.1,12.5,1.6,37.7,37.7,32.6,10.8,15.5,21.8,89.7,0.0,9.5,8.2,0.0,3.4,0.7,51.4,3.49,6.5,17.5,9.9,58.6,23.8,4.6,9.8,9.9,0.0,0.0,39.9,high,63.55648973214171,58.73643974489135,66.59632330881095,76.43537319210331,76.05461462043566,127.58386768075391,100.0,119.00237529691209,111.2763648873952,113,48,012601,1331,48113012601
408,"Census Tract 10.01, Dallas County, Texas",2.6,43.2,13.0,0.0,0.0,31.6,3.9,5.5,74.9,0.0,86.2,21.4,9.8,0.7,72.1,10.7,4.1,11.4,24.0,1.4,0.9,6.5,10.3,31.0,24.1,3.0,4.9,32.1,84.3,84.3,5.9,0.0,0.0,0.0,75.7,0.0,6.0,12.2,2.1,12.3,7.7,64.3,2.46,8.6,16.2,1.7,0.0,1.4,46.2,9.2,16.2,0.8,3.6,89.1,low,164.8019236132861,146.16127945777356,144.5161893229596,170.67473695323218,118.4996728937995,31.13054590696444,100.0,81.94774346793348,79.9798872628153,113,48,001001,185,48113001001
409,"Census Tract 15.04, Dallas County, Texas",9.1,71.4,17.5,124.0,0.0,0.0,12.0,5.0,64.2,0.4,78.6,39.0,6.4,7.7,32.6,26.4,11.1,6.1,17.6,1.9,14.2,11.9,8.7,1.7,19.6,0.6,17.4,0.0,39.1,39.1,37.1,30.4,100.0,100.0,77.6,0.0,12.6,34.3,0.4,17.7,18.1,16.0,1.93,14.7,15.9,0.0,5.6,29.1,0.0,6.5,16.0,0.0,0.0,70.3,high,63.553905819886886,59.46158097630975,111.88350141132358,119.81447724953372,67.39235782995323,47.09650905528877,100.0,72.32779097387174,97.6566014766984,113,48,001504,4038,48113001504
410,"Census Tract 16, Dallas County, Texas",13.9,68.5,13.5,0.0,0.0,60.7,5.5,5.2,65.8,0.4,88.9,13.6,9.1,5.7,63.5,4.0,9.2,11.3,22.8,0.0,15.5,7.7,9.1,5.7,21.0,4.1,20.5,6.7,66.3,66.3,6.8,26.1,0.0,71.3,88.7,0.0,7.2,51.9,4.3,19.3,6.5,28.5,1.68,11.3,15.6,0.0,10.7,0.4,9.2,3.9,14.7,4.0,1.5,58.9,high,138.69924201495724,130.15016106805504,128.73362290512478,104.3882183200197,97.79687916454651,90.59708046455854,100.0,61.638954869358656,74.47402545849106,113,48,001600,5118,48113001600
411,"Census Tract 17.01, Dallas County, Texas",7.0,53.9,8.2,0.0,,,1.8,5.9,44.1,1.1,84.5,16.3,6.4,1.5,68.6,3.0,3.0,13.9,22.8,1.2,7.8,2.0,10.2,25.8,7.0,0.0,0.0,44.1,88.7,88.7,11.3,11.0,76.5,100.0,86.5,19.0,1.7,88.2,0.0,24.0,7.1,19.9,1.65,5.1,5.9,0.0,9.8,0.0,45.1,5.1,8.4,1.1,0.0,65.7,low,217.59383489179115,199.0657708489823,166.0770724074334,232.03181194355489,126.38232657313853,9.287793234289056,100.0,63.06413301662708,68.09881705348405,113,48,001701,4039,48113001701
412,"Census Tract 21, Dallas County, Texas",6.4,71.8,11.9,23.0,,,4.5,4.5,60.5,1.7,90.8,13.8,7.3,5.2,65.0,5.1,8.2,11.9,26.5,0.0,14.6,2.9,15.6,10.0,4.3,3.9,9.5,11.4,77.2,77.2,8.9,6.5,44.4,33.8,81.7,72.0,7.8,96.2,6.4,26.1,19.3,2.5,1.74,13.3,3.7,0.0,0.0,0.0,11.4,0.5,2.9,0.9,1.5,63.8,high,154.66006801306432,125.36785464685065,145.41591914680902,,138.8559763514332,44.42524108967466,100.0,53.80047505938242,62.882737449387385,113,48,002100,425,48113002100
413,"Census Tract 41, Dallas County, Texas",30.3,21.8,4.2,62.0,6.9,14.9,27.6,2.3,91.7,1.0,77.6,49.3,0.0,20.3,7.7,22.2,14.3,2.3,3.6,0.0,10.9,28.9,5.8,0.0,20.4,7.3,35.7,0.0,21.4,21.4,28.5,42.2,62.9,51.0,83.7,0.0,3.0,2.6,0.0,0.0,0.0,33.0,3.86,8.0,9.2,47.1,2.9,0.0,0.0,14.1,8.9,0.0,0.0,49.1,low,60.995832687601634,51.77145821711749,,50.048351338987224,49.54810884155946,28.294892220389453,100.0,119.00237529691209,110.69680048694002,113,48,004100,4743,48113004100
414,"Census Tract 47, Dallas County, Texas",23.7,30.0,8.2,88.0,0.0,25.6,19.1,2.2,83.9,0.0,65.3,78.3,1.5,8.4,21.9,28.6,8.1,2.4,17.6,0.0,8.7,9.0,9.0,0.0,13.4,0.5,16.0,0.0,33.0,33.0,28.2,22.2,100.0,41.4,83.3,7.8,6.6,8.4,1.0,2.9,3.6,27.6,4.46,7.6,25.2,10.0,25.7,14.1,1.7,8.3,7.9,0.0,0.0,87.1,high,61.78650983758072,54.070155920713866,55.142249851826705,74.81155646268078,73.10944731167163,68.343363489481,100.0,128.62232779097386,124.6063460978644,113,48,004700,1651,48113004700
