,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,TRACTCE,STATEFP,index,GEOID
1266,"Census Tract 15.01, New York County, New York",5.1,57.6,7.3,14.0,0.0,0.0,4.1,2.9,82.0,1.6,63.7,36.8,6.0,4.4,71.6,9.3,9.1,21.4,30.8,0.0,9.0,10.1,7.0,23.9,32.9,1.9,11.4,33.4,79.6,79.6,2.7,13.5,7.8,0.0,85.7,0.0,6.2,90.8,1.1,18.9,15.7,43.7,1.97,3.2,23.4,0.7,2.1,0.0,43.0,3.4,27.4,0.0,1.3,66.4,low,111.89465230238883,121.57143792387464,122.93837198112051,127.72564256687382,145.8140013256234,121.22776389297265,100.0,84.67307922297582,85.14246947082768,061,001501,36,3940,36061001501
1267,"Census Tract 43, New York County, New York",1.3,66.1,21.5,14.0,,,1.1,0.9,82.2,1.4,62.1,31.0,12.6,2.6,72.7,5.0,3.1,18.4,36.2,0.0,14.4,6.3,8.1,20.2,12.9,0.7,8.8,23.6,76.2,76.2,11.5,4.9,0.0,65.4,84.3,0.0,6.0,60.0,0.0,16.2,17.7,14.9,2.35,4.7,15.9,0.0,0.0,0.0,28.8,3.8,15.9,0.3,2.4,72.7,low,111.02284076669856,82.23599542129459,100.37299572532305,127.72564256687382,111.91118323314971,68.14619474664315,100.0,89.45686900958462,81.07191316146543,061,004300,36,3490,36061004300
1268,"Census Tract 49, New York County, New York",3.5,68.1,11.0,0.0,0.0,0.0,0.0,4.2,83.5,1.5,70.7,23.0,14.9,3.7,73.9,8.9,10.2,19.3,30.0,0.0,7.6,1.9,9.4,24.6,19.3,0.6,3.8,42.9,83.7,83.7,4.9,6.7,0.0,28.6,84.1,5.6,2.4,49.6,0.0,18.6,23.0,23.1,2.28,4.3,13.3,0.0,0.0,0.0,12.8,4.4,23.3,0.4,1.2,84.6,low,117.06922653080521,99.74002301542409,131.58570205137877,127.72564256687382,117.59707905743606,76.44994119376655,100.0,81.32442637234965,88.19538670284943,061,004900,36,490,36061004900
1269,"Census Tract 52, New York County, New York",7.7,55.1,8.0,23.0,,,0.0,2.6,67.6,3.5,77.9,20.6,4.6,5.3,67.6,3.7,5.7,26.0,28.0,0.4,7.0,2.0,11.7,36.3,19.3,0.0,1.0,42.3,92.4,92.4,0.7,9.2,5.7,56.8,79.9,10.8,4.3,83.6,0.0,11.5,13.3,56.6,2.08,4.8,17.4,0.0,1.9,0.0,24.6,6.9,14.7,0.0,0.7,77.3,high,128.37538974496633,145.82845701347816,125.72774872653656,110.26352647487684,145.3888876191347,59.77310594923061,100.0,89.93524798824551,89.55223880597019,061,005200,36,3063,36061005200
1270,"Census Tract 33, New York County, New York",1.9,46.2,4.1,26.0,0.0,0.0,0.8,2.3,83.8,1.3,77.5,12.5,10.8,7.0,66.1,3.8,4.8,26.3,23.7,0.0,3.9,0.5,10.5,49.5,8.9,0.8,3.0,68.8,94.1,94.1,0.5,3.2,0.0,0.0,86.4,0.0,3.5,53.6,2.0,12.0,13.9,39.3,2.4,7.3,20.8,0.0,0.0,0.0,11.1,10.9,9.4,0.7,2.6,83.3,high,155.37416060155212,244.32049592764028,129.3756977314674,127.72564256687382,164.1470299179485,90.85581446633344,100.0,100.93796449744578,98.37177747625513,061,003300,36,3403,36061003300
1271,"Census Tract 36.02, New York County, New York",1.2,71.5,21.5,0.0,0.0,0.0,6.1,1.0,74.1,1.1,70.8,24.5,8.4,9.2,74.1,5.8,7.2,15.2,24.3,0.0,5.2,4.3,23.8,13.7,15.2,0.0,7.6,12.3,72.0,72.0,6.1,10.7,,,89.9,0.0,9.5,62.2,3.7,10.8,29.7,9.1,2.53,4.1,21.8,0.0,8.0,0.0,46.4,0.3,13.1,2.0,2.4,75.2,high,95.31958272156912,87.65011595456897,84.41928126646093,118.9786228059832,105.21564235595274,53.428280897775174,100.0,80.84604739368878,72.93080054274084,061,003602,36,4253,36061003602
1272,"Census Tract 48, New York County, New York",2.8,75.2,17.0,8.0,0.0,0.0,0.9,4.8,65.7,5.2,79.1,20.4,10.4,5.4,71.4,6.7,7.3,24.1,19.3,0.0,5.3,3.6,13.4,25.4,19.4,0.0,3.5,47.8,85.4,85.4,2.6,4.4,16.9,,76.7,2.8,20.7,71.2,0.0,18.5,24.0,50.4,1.72,5.3,16.7,3.3,1.1,0.0,57.4,4.0,17.3,0.4,1.7,78.6,high,117.6717350266749,97.27728226743645,110.90787396917109,84.78862950702748,106.38470504879665,108.33008673919436,100.0,79.88928943636702,86.83853459972866,061,004800,36,3062,36061004800
1273,"Census Tract 55.01, New York County, New York",7.7,46.3,6.3,0.0,0.0,0.0,1.5,0.7,76.2,2.4,65.0,31.6,3.1,1.6,90.5,3.1,2.7,17.1,10.8,0.0,3.2,4.4,2.6,36.9,22.7,0.2,1.1,50.8,92.1,92.1,1.1,3.4,0.0,0.0,84.6,0.0,2.8,97.9,0.0,11.5,22.3,24.3,1.95,5.7,25.2,0.0,0.0,0.0,42.5,5.4,18.3,0.4,4.4,75.1,low,161.04017484048848,155.1428943424742,137.86311052590764,86.86365244300518,126.2587708271433,79.6916960697834,100.0,96.15417471083694,89.55223880597019,061,005501,36,3064,36061005501
1274,"Census Tract 60, New York County, New York",4.7,50.0,12.9,0.0,0.0,0.0,1.1,2.7,73.2,0.7,84.2,20.4,21.8,2.2,78.8,6.2,4.7,17.7,29.0,0.0,2.7,4.9,7.5,39.0,27.4,0.6,0.6,55.0,94.4,94.4,0.8,4.5,5.0,0.0,97.5,,2.5,99.3,0.0,5.0,0.0,0.0,,7.8,9.8,,,,,9.5,19.6,0.3,0.7,85.4,low,157.76745823792342,133.01829601164408,140.5882582015279,,127.26841588005396,92.71072233656768,100.0,106.20013326271544,97.35413839891457,061,006000,36,3214,36061006000
1275,"Census Tract 61, New York County, New York",3.4,63.2,7.8,7.0,0.0,0.0,0.7,3.0,66.1,2.5,82.2,20.7,8.7,5.7,73.7,6.1,8.2,23.5,21.8,0.0,2.3,2.2,7.0,47.3,18.8,0.0,0.7,59.0,91.4,91.4,1.9,0.0,0.0,0.0,82.0,0.0,7.0,75.9,0.0,8.7,20.3,46.2,1.94,5.0,20.7,0.0,0.0,0.0,25.9,2.7,14.1,0.6,0.8,83.7,low,123.08974703120023,202.65913160751631,137.81592182156788,125.13984475434776,140.07496628802602,86.01918553366656,100.0,79.88928943636702,83.44640434192675,061,006100,36,2050,36061006100
1276,"Census Tract 72, New York County, New York",2.9,76.4,15.7,0.0,0.0,0.0,0.5,5.7,79.9,3.1,70.5,34.6,4.9,3.8,69.9,6.2,6.3,29.2,28.2,0.0,5.4,2.4,16.3,17.4,12.2,0.0,2.3,38.6,88.2,88.2,2.8,12.1,56.6,0.0,86.4,0.0,2.5,76.3,0.0,24.7,30.8,21.7,1.56,2.7,15.3,0.0,0.0,0.0,41.2,5.3,9.5,0.0,1.3,74.9,high,131.12471512889704,92.85216714565551,113.6762779571028,89.51329711509977,129.3408451991863,129.37549005194552,100.0,81.32442637234965,96.33649932157398,061,007200,36,3203,36061007200
