,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
2292,"Census Tract 1302, Baltimore city, Maryland",23.5,53.4,16.5,35.0,0.0,0.0,9.8,8.3,77.7,1.2,97.1,2.7,6.6,5.8,40.3,25.0,2.7,2.5,20.1,0.0,13.3,10.9,9.8,3.9,30.0,3.9,21.0,6.8,61.6,61.6,4.0,12.3,0.0,41.2,72.2,3.6,9.1,2.2,0.7,1.3,0.0,36.5,2.79,4.6,18.9,1.3,0.0,15.0,3.8,2.8,19.5,0.0,0.0,16.9,low,125.40840914021136,93.09842557685492,111.42779301626389,143.86805096406428,89.77850399419027,88.15308280462014,100.0,98.11381074168798,96.84094726983507,510,130200,24
2293,"Census Tract 1308.06, Baltimore city, Maryland",10.3,56.3,17.9,0.0,0.0,42.6,9.3,2.3,80.8,0.9,93.7,8.8,9.9,1.7,63.0,10.5,5.4,10.5,13.4,0.0,4.2,7.2,15.8,11.6,18.6,4.0,5.3,13.9,81.1,81.1,6.4,0.0,0.0,0.0,87.6,2.7,5.5,15.0,0.0,2.3,5.2,65.4,2.13,6.1,30.9,3.4,18.8,21.9,10.1,3.2,22.4,0.0,1.5,79.7,low,148.913456890431,124.67309254363047,127.39128433093913,96.79026464859456,152.86855482933916,46.52074182528062,100.0,89.80578644501279,87.42176698827058,510,130806,24
2294,"Census Tract 2002, Baltimore city, Maryland",23.8,38.8,3.6,271.0,0.0,39.5,17.8,4.9,75.7,0.0,98.0,4.5,0.7,15.4,17.6,30.3,4.9,2.9,17.9,0.0,10.5,22.5,7.1,1.5,55.6,16.3,38.7,2.4,28.4,28.4,3.9,28.0,100.0,85.3,61.6,5.6,20.5,3.6,0.0,0.4,0.8,47.7,2.16,1.2,17.3,40.4,5.9,4.3,0.0,8.9,23.8,0.4,0.0,4.8,high,60.92673801632612,94.34092881555253,50.606845872181715,58.72589839352407,109.1140159767611,75.91589393199935,100.0,105.23497442455245,104.49403124860623,510,200200,24
2295,"Census Tract 2006, Baltimore city, Maryland",30.1,39.7,6.2,0.0,0.0,19.0,13.4,1.9,96.3,0.0,98.6,2.9,5.4,18.7,19.3,27.4,13.1,1.1,13.2,0.0,12.1,21.0,7.4,1.0,38.2,2.0,25.0,1.7,45.8,45.8,3.8,17.2,0.0,21.2,67.8,0.0,0.0,0.0,0.0,0.0,2.1,55.7,2.43,0.0,15.4,58.1,17.7,3.4,0.0,5.1,14.6,2.8,0.0,33.0,high,73.13814568699337,61.02159675801786,65.61813686899379,76.26740051107022,101.39796659404503,74.20009760858956,100.0,111.96051790281332,110.38101892458405,510,200600,24
2296,"Census Tract 2007.01, Baltimore city, Maryland",37.7,41.0,8.9,35.0,19.6,0.0,15.5,8.3,85.6,0.0,97.0,3.2,0.5,24.5,27.4,18.3,12.2,4.6,5.8,0.0,9.9,15.1,9.9,0.4,44.2,7.1,41.2,0.0,38.0,38.0,9.5,23.5,10.0,34.7,85.4,2.9,3.6,4.7,0.0,1.8,1.7,48.1,2.43,2.4,22.8,65.5,18.7,2.4,0.0,6.4,20.6,0.0,0.3,2.5,high,84.1286958521961,99.64439311874742,74.1721074204392,78.27808652454388,78.24981844589688,158.79209370424599,100.0,106.81745524296677,102.433585562014,510,200701,24
2297,"Census Tract 2708.03, Baltimore city, Maryland",21.1,50.3,2.6,29.0,0.0,0.0,6.6,5.9,88.7,0.3,95.9,4.8,1.3,9.7,37.2,20.0,13.0,7.5,4.4,0.0,5.3,7.6,12.8,3.4,37.1,3.7,16.9,6.8,76.7,76.7,1.4,0.9,0.0,3.7,93.0,14.5,0.0,20.9,0.0,4.7,5.4,36.3,3.16,5.6,24.3,17.8,43.4,32.8,0.0,3.9,23.7,0.4,0.1,8.9,high,115.29313732579412,94.08488581588482,96.50471059996646,92.00621861653651,104.03050108932463,221.62908735968765,100.0,89.80578644501279,101.25618802681844,510,270803,24
2298,"Census Tract 1204, Baltimore city, Maryland",28.5,52.6,10.8,0.0,0.0,11.9,8.2,6.0,71.0,0.0,92.9,10.0,4.5,8.3,44.3,25.8,14.7,8.6,18.3,0.0,19.0,8.2,10.2,1.0,21.7,8.7,38.1,2.2,44.6,44.6,11.2,31.0,100.0,56.0,71.6,22.8,7.4,3.4,2.5,3.2,3.7,28.5,2.36,5.7,15.0,29.5,13.2,12.6,7.4,4.5,8.5,0.0,0.0,24.9,high,91.33203839603901,89.04143417126721,88.77402013332436,95.33425063883777,89.86928104575163,56.42703757930698,100.0,101.67439258312021,109.79232015698625,510,120400,24
2299,"Census Tract 1306, Baltimore city, Maryland",4.3,50.2,18.1,0.0,,,4.1,0.7,77.8,0.0,92.8,7.6,16.2,2.7,67.6,9.2,3.6,8.6,19.1,0.0,2.6,4.7,14.5,11.1,12.2,3.8,5.4,15.3,81.0,81.0,4.0,8.3,6.3,20.5,89.1,4.3,7.8,5.0,0.0,2.1,2.2,59.6,2.16,4.9,20.1,4.7,4.4,17.9,0.0,5.9,9.4,0.0,1.1,88.8,low,140.038870893632,122.84903427467985,119.54976769903504,113.70776076195924,134.62236746550474,115.83243858792906,100.0,86.24520460358058,75.94214102011382,510,130600,24
2300,"Census Tract 1308.04, Baltimore city, Maryland",14.2,61.3,23.0,0.0,9.8,90.2,6.8,8.1,79.1,0.0,95.7,4.2,22.6,7.0,54.3,15.4,14.2,9.1,13.6,0.0,4.7,7.6,17.1,4.2,17.8,2.6,10.8,5.4,68.2,68.2,7.9,16.8,0.0,11.0,91.4,0.0,0.0,3.6,1.1,6.6,3.6,52.1,2.17,6.8,19.3,1.3,17.3,22.8,0.0,2.0,10.9,0.0,0.0,90.0,low,108.20309942282958,92.86223087173508,97.47726674410224,98.03827665695752,109.38634713144518,64.16430779241907,100.0,86.64082480818415,81.53477931229276,510,130804,24
2301,"Census Tract 1602, Baltimore city, Maryland",30.8,38.9,10.2,35.0,9.7,9.7,18.0,5.0,89.4,0.0,99.4,3.2,0.0,13.3,15.3,47.8,6.8,1.1,11.9,0.0,23.0,11.8,11.4,0.8,26.9,8.4,44.7,1.4,46.2,46.2,6.9,30.6,100.0,63.5,63.3,0.0,6.5,13.8,0.0,5.2,3.2,35.6,2.72,2.5,29.8,47.6,24.5,6.8,0.0,9.5,15.0,0.0,0.0,1.1,low,79.1602873496792,61.43245645515908,105.8027996895995,62.60860241954218,69.98910675381265,70.86562550837807,100.0,104.83935421994886,95.95789911843839,510,160200,24
